"","NT","NT","NT","T","T","T","T","T","T","T","T","T","T"
"ABCC1",31.5375802478985,0,25.1210280069695,20.888591140349,7.73457035591416,126.909922259503,67.5379093512464,2.05924404793845,90.9328671378266,155.322301345895,27.0204782480903,99.7704256873051,31.5375802478985
"ABCC10",30.4112380961878,57.9357949183077,0.473981660508858,0,11.8293428972805,338.626948967299,81.6083071327561,16.4739523835076,2.9333182947686,2.16728792575668,19.2261095226796,87.2991224763919,30.4112380961878
"ABCC11",13.5161058205279,47.7970308076038,0,66.1472052777717,0,3.60881295524652,1.40703977815097,0,0.225639868828354,0,0,0,13.5161058205279
"ABCC13",1.12634215171066,0,0,0,0,0,0,0,1.12819934414177,0,1.03924916338809,0,1.12634215171066
"ABCC2",268.069432107137,5493.76175312852,3.79185328407086,27.8514548537986,369.439478176606,781.308004810873,112.563182252077,566.292113183075,116.881452053087,12149.816111792,329.441984794024,498.852128436525,268.069432107137
"ABCC3",893.189326306554,431.621672141392,105.223928632966,73.1100689912214,221.117717233781,1744.25959503582,203.551754572506,343.893756005722,45.3536136344991,208.782070181227,4.6766212352464,88.6848228331601,893.189326306554
"ABCC4",96.8654250471168,0,5.21379826559743,3.48143185672483,1.36492418045544,6.61615708461863,0,2.05924404793845,24.1434659646339,0.72242930858556,12.9906145423511,23.5569060650581,96.8654250471168
"ABCC5",6.75805291026396,7.24197436478846,103.328001990931,0,2.2748736340924,51.1248501993258,398.661270476107,28.8294166711383,9.02559475313416,77.299936018655,10.3924916338809,261.897367429176,6.75805291026396
"ABCC6",55.1907654338223,1.44839487295769,0.947963321017715,553.547665219248,0.45497472681848,1050.76603880261,33.7689546756232,242.990797656737,69.2714397303047,273.800707953927,1040.28841255148,56.8137146274932,55.1907654338223
"ABCC6P1",81.0966349231675,2.89678974591538,1.42194498152657,302.88457153506,3.18482308772936,647.180456640877,41.2731668257617,2.05924404793845,0.451279737656708,806.231108381485,1100.56486402799,109.470328184682,81.0966349231675
"ABCC6P2",0,0,0,27.8514548537986,0,10.8264388657396,0.938026518767311,0,3.15895816359696,5.77943446868448,4.6766212352464,1.38570035676813,0
"ABCC8",0,0,7.58370656814172,0,1.81989890727392,0,0.938026518767311,0,0,0,0,2.77140071353625,0
"ABCC9",132.908373901858,547.493261978007,495.310835231756,90.5172282748456,1.81989890727392,9.02203238811631,10.3182917064404,12.3554642876307,18.9537489815817,18.060732714639,11.951365378963,102.541826400841,132.908373901858
"ABCD1",9.01073721368528,0,1443.27415624947,0,54.1419924913991,0.601468825874421,250.453080510872,144.147083355692,2.9333182947686,216.006363267083,236.42918467079,26.3283067785944,9.01073721368528
"ABCD2",0,1.44839487295769,0,0,0,0,0.469013259383656,0,0,0,0,5.5428014270725,0
"ABCD3",488.832493842427,7043.54426719325,23.225101364934,633.620597923919,228.852287589695,249.609562737885,186.198263975311,3062.09589928448,229.250106729608,6.50186377727004,308.657001526262,192.612349590769,488.832493842427
"ABCD4",1.12634215171066,2.89678974591538,733.723610467712,6.96286371344966,131.942670777359,84.8071044482933,522.949784212776,362.426952437168,131.54804352693,195.055913318101,253.057171285,5.5428014270725,1.12634215171066
"ABCE1",1260.37686776423,18.82913334845,148.356259739272,177.553024692966,5.91467144864024,98.0394186175306,139.296938036946,10.2962202396923,162.911985294072,179.884897837805,222.399320965051,40.1853103462756,1260.37686776423
"ABCF1",2.25268430342132,120.216774455488,8.53166988915944,0,25.9335594286533,3.0073441293721,22.9816497097991,4.11848809587691,6.09227645836556,15.1710154802968,45.2073386073819,9.69990249737688,2.25268430342132
"ABCF2",1042.99283248407,608.32584664223,162.575709554538,247.181661827463,91.9048948173329,60.1468825874421,45.9632994195982,520.988744128429,6.54355619602227,44.0681878237192,2.07849832677618,67.8993174816382,1042.99283248407
"ABCF3",28.1585537927665,5.79357949183077,42.6583494457972,0,0.45497472681848,52.929256676949,132.730752405575,67.9550535819689,150.72743237734,146.653149642869,183.947101919692,49.8852128436525,28.1585537927665
"ABCG1",18.0214744273706,10.1387641107038,28.9128812910403,20.888591140349,1.81989890727392,24.6602218608513,95.6787049142657,74.1327857257843,43.999774421529,34.6766068121069,42.0895911172176,9.69990249737688,18.0214744273706
