"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF26B",260.929182758052,0.851179738968055,0.423092326806885,2.01180613553543,NA,NA
"KIF26B-AS1",0.750217366579903,0.631274813127212,0.819563689168544,0.770257176434508,0.441147353427671,0.547103994626162
"KIF27",124.073564657123,-0.0336205040538241,0.121613789752212,-0.276453057850806,0.782200109578939,0.84084893224565
"KIF2A",395.663461027858,1.06735251998594,0.169341916287738,6.3029434376563,2.92045492492062e-10,4.20892456183566e-09
"KIF2B",0.0363066092091612,-0.410221300995818,2.93009564671429,-0.140002699726142,0.888657857325566,NA
"KIF2C",192.464470966019,2.87004108343914,0.358193044646067,8.01255391844654,1.12350554700954e-15,6.83357547449685e-14
"KIF3A",371.677530149715,1.17306932770244,0.170221444642966,6.8914309249514,5.52339407520974e-12,1.22115705084413e-10
"KIF3AP1",0,NA,NA,NA,NA,NA
"KIF3B",1280.05914944188,0.266504110255842,0.123875042697076,2.15139469947592,0.0314450592123643,0.0616695205498127
"KIF3C",200.66432733352,1.27291325000745,0.300998375465344,4.22897049872619,2.3476312479289e-05,0.000104334441068885
"KIF4A",216.487164488296,2.63981719484392,0.299995758781292,8.79951505170592,1.37408642533859e-18,1.63991644243517e-16
"KIF4B",0.378831824865435,1.21387026781434,0.808496143315617,1.50139277453607,0.133254001634848,0.207893944466916
"KIF5A",14.3112818493129,3.92003871625031,0.533545972805925,7.34714329420344,2.0248775941251e-13,6.56494455223027e-12
"KIF5B",3662.01250872908,0.325195818431555,0.114952960744172,2.8289468694528,0.00467014513426378,0.0116774784166942
"KIF5C",30.6207983875644,1.6862172123233,0.330004791639573,5.10967493515962,3.22713566101368e-07,2.23360276675615e-06
"KIF6",108.920269867598,0.492284773862085,0.308548657851652,1.59548505992456,0.110603808286132,0.17806777622499
"KIF7",244.462313142441,1.54611304097025,0.271603765759547,5.69253167991433,1.25169364572149e-08,1.21691519171664e-07
"KIF9",111.261761673087,0.0324050547121835,0.135365680486868,0.239388998715426,0.810803959805605,0.862111275152803
"KIFAP3",595.558327509281,0.367498772283183,0.128503622521745,2.85983200373199,0.00423865482294236,0.0107150515039781
"KIFBP",453.943913913225,0.0101595783185584,0.0979480696690799,0.103724130070994,0.917388276911551,0.941765542175551
"KIFC1",75.1130434386634,2.51944549703549,0.372332049923499,6.76666297610732,1.31786574255999e-11,2.64760306915215e-10
"KIFC2",320.229192256702,0.0402817200401519,0.219665045788632,0.183377923854632,0.854501496361897,0.895398974481461
"KIFC3",2191.22666302873,-0.912166908097965,0.177968867444663,-5.1254296394373,2.96860014148502e-07,2.07023760340644e-06
"KIN",633.867334239192,-0.0721604634415043,0.10954126796369,-0.658751398289668,0.510055421564323,0.610545603291878
"KIR2DL1",0,NA,NA,NA,NA,NA
"KIR2DL2",0.0304375601251751,-0.32535761543387,2.93009564671429,-0.111039929975909,0.911584682958885,NA
"KIR2DL3",0.0253607630859004,-0.410221300995818,2.93009564671429,-0.140002699726142,0.888657857325566,NA
"KIR2DL4",0.062480577304959,-0.16641307309432,2.14918207888874,-0.0774308862562102,0.938280770853232,NA
"KIR2DL5A",0,NA,NA,NA,NA,NA
"KIR2DL5B",0.0673682757103506,-0.151220282303106,2.93003315487684,-0.0516104338448904,0.958839105415616,NA
"KIR2DP1",0,NA,NA,NA,NA,NA
"KIR2DS1",0,NA,NA,NA,NA,NA
"KIR2DS2",0.142288156125348,0.565448053250469,2.3099492060952,0.244788089607528,0.806620516526493,NA
"KIR2DS3",0.173269954434019,0.778912148649563,2.92880323437546,0.265948951267004,0.790278524495843,NA
"KIR2DS4",0.040865684241576,-0.238583082529743,2.93006776916965,-0.0814257898879091,0.935103339839964,NA
"KIR3DL1",0.0219013061268221,-0.410221300995818,2.93009564671429,-0.140002699726142,0.888657857325566,NA
"KIR3DL2",0.0726765224806155,-0.154105068091328,2.44760966755491,-0.0629614558784099,0.94979719714912,NA
"KIR3DL3",0.010950653063411,-0.495084986557765,2.93009564671429,-0.168965469476376,0.865823802198661,NA
"KIR3DP1",0,NA,NA,NA,NA,NA
"KIR3DS1",0.0266993523890812,-0.670115939227658,2.93009564671429,-0.228701045980906,0.819101281760088,NA
"KIR3DX1",44.4785204505575,-0.452350851784302,0.209209128697168,-2.16219461646477,0.0306031783395528,0.0602431860341464
"KIRREL1",1175.61977652232,0.866879053842122,0.343613134296013,2.52283445339819,0.0116413190092763,0.0259913724750543
"KIRREL2",4.62262582051524,1.76800697083862,0.70756443823177,2.49872220155232,0.0124641975350627,0.0275748514405461
"KIRREL3",16.795270489835,-0.221629809830197,0.205511658870366,-1.07842937499715,0.280842183725493,0.383030551488849
"KIRREL3-AS2",0.0175781000456011,-0.670115939227658,2.93009564671429,-0.228701045980906,0.819101281760088,NA
"KIRREL3-AS3",0.228509579403398,-1.84576943839847,2.20850124110511,-0.835756577376822,0.403291859303571,NA
"KISS1",15.0747923428183,-0.713405304192365,0.344866374756652,-2.06864268717345,0.0385796290709357,0.0732920005383917
"KISS1R",1.9075718830577,2.28165738069332,0.799319324365304,2.8545004620088,0.00431045690112399,0.0108766374765619
"KIT",243.76965036236,2.13582247648475,0.298167304753052,7.16316793437053,7.88336770092047e-13,2.15683860555915e-11
"KITLG",876.648057227876,1.90484601569534,0.281038084696532,6.7778928174529,1.21941256484192e-11,2.46325800724105e-10
"KIZ",663.722545041659,1.41928061009105,0.248997654223958,5.69997582713973,1.19824417660806e-08,1.16856844695289e-07
"KIZ-AS1",57.5961383886795,0.744069529510536,0.259582469543259,2.86640900989863,0.00415157484069945,0.010521421132668
"KL",93.1594552235073,-0.873183998177947,0.305258974881626,-2.86046953579842,0.00423014192743704,0.0106972057743537
"KLB",1318.37791391618,0.555848266732343,0.304800440161587,1.82364653554196,0.0682055264779574,0.118800080396562
"KLC1",1603.3375088125,0.0904050949956691,0.104310928275932,0.866688624959047,0.38611263965258,0.492964055235404
"KLC2",348.341237972422,0.692470372325239,0.161093528697199,4.29856107768828,1.71910530051945e-05,7.86166651411951e-05
"KLC3",22.7038874282088,-0.121912788567924,0.165722297804072,-0.735645053099963,0.461946736897742,0.566943969092009
"KLC4",1873.5437896068,-0.388723865914808,0.192967828600132,-2.01444908581276,0.0439624052492217,0.0817868171130405
"KLF1",24.6280665573773,3.13450911087853,1.02467067168661,3.05904052637626,NA,NA
"KLF10",3365.87389483832,-1.0677209347484,0.236436783993002,-4.51588334402315,6.3053370076172e-06,3.18643936349691e-05
"KLF11",1420.07609083518,-0.855182362176098,0.231270131839253,-3.69776397572386,0.000217506983199499,0.000761429630896105
"KLF12",1473.34918683695,0.273650214050497,0.20090672328498,1.36207594039714,0.173173920373571,0.257944207510496
"KLF13",806.723983305839,0.431640911504703,0.191561109690427,2.25328049206991,0.0242414689750941,0.0492072624345962
"KLF14",2.64042796045071,1.44525096046844,0.720003801125444,2.00728240352254,0.0447196017095941,0.083006648688199
"KLF15",1114.91275843634,-0.436895658956842,0.329319536121596,-1.32666183155173,0.184620572263101,0.272110381276963
"KLF16",615.063661906731,-0.797082451649334,0.16384932672969,-4.86472826931,1.14614160699082e-06,6.94256804958854e-06
"KLF17",1.06309349046427,1.54475292649904,0.633201441821332,2.43959161251392,0.0147038738776785,0.0318499785485395
"KLF18",0.0220226042353163,-0.410221300995817,2.93009564671429,-0.140002699726142,0.888657857325566,NA
"KLF2",307.070021210076,-0.386230942361855,0.320798283073638,-1.20396823406065,0.228601856611034,0.32412666273536
"KLF2P2",0.260993693506155,0.998336541946284,1.97490072436409,0.505512266834449,0.61319908487559,NA
"KLF3",2742.72825135318,-0.157669940548262,0.127866030553758,-1.23308700415137,0.217543305542236,0.311267330149474
"KLF4",1050.32684525921,0.161068234338405,0.320576796820193,0.50243260253407,0.615363250388454,0.704809109577562
"KLF4P1",0.948313819038925,-0.127969714119368,0.51081535807662,-0.250520490615658,0.80218486058696,0.856286962719952
"KLF5",275.470145463906,-0.578074552368445,0.323261044086806,-1.78825925035747,0.0737341909889076,0.126878435261795
"KLF6",13243.1457981213,-1.33196327153453,0.251426097074087,-5.29763332858022,1.17313241652026e-07,8.96248810531173e-07
"KLF7",801.816385682735,0.592254741795712,0.166629617567604,3.55431855657608,0.000378959896825948,0.00124583912477965
"KLF8",110.111490265886,0.411076052237428,0.257440695962098,1.59677960277869,0.110314844188935,0.177706219527761
"KLF9",5093.28580931234,-0.867199263345314,0.265265442011,-3.26917542206404,0.00107861407723042,0.00318437709921202
"KLHDC1",138.180858837772,-0.103506513353015,0.159069795690904,-0.650698725697391,0.515240985950948,0.615551416525674
"KLHDC10",1337.05956097469,0.0812972522034089,0.160763099173857,0.505695975140976,0.613070094203571,0.702692966304347
"KLHDC2",2113.712604875,0.0580875563082817,0.153511430010173,0.378392386185395,0.705139123422222,0.77863299355035
"KLHDC3",1835.79855591132,0.201202788961966,0.123384448495488,1.63069812618503,0.102954032178513,0.168021596660281
"KLHDC4",751.745316328812,-0.196696106201324,0.140577920766651,-1.39919629717546,0.161754126667064,0.244099837067402
"KLHDC7A",131.377218641955,-0.570634775364645,0.326938486220127,-1.7453888098706,0.0809172121975224,0.136964974556049
"KLHDC7B",16.2535450810224,0.303383507272882,0.308333052774836,0.983947405387095,0.325141373492516,0.430848420678266
"KLHDC7B-DT",4.50515565746214,-0.168332093116553,0.33874799418869,-0.496924250488073,0.619242469711625,0.708076777086486
"KLHDC8A",12.1781577179382,2.17450924703506,0.458498917661797,4.74267040394421,NA,NA
"KLHDC8B",416.95888661008,0.596791468829857,0.146202724125215,4.0819449322896,4.46603801365817e-05,0.000185558248595331
"KLHDC9",69.9637936608013,0.220036790105686,0.244464207787696,0.900077733656521,0.368078884581728,0.475252262729823
"KLHL1",0.0203920697081101,-0.58525225366571,2.93009564671429,-0.199738276230672,0.841685276812454,NA
"KLHL10",4.04468331501626,-1.46146567085618,0.371785686238017,-3.93093581854722,8.46158601241771e-05,0.000328220937400159
"KLHL11",54.4406033142198,0.498647951186748,0.183340803673883,2.71978709155065,0.00653239615317111,0.0156889779904128
"KLHL12",567.174896647677,0.494987850838639,0.0966319930692967,5.12240134055471,3.01668945647751e-07,2.09808960647248e-06
