"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000006638,TBXA2R,4.2572,2.1323,31.7761,6.8366,0,48.7653,2.7629,4.5966,3.826,11.2074,78.2936,71.8834,4.0974
ENSG00000006652,IFRD1,128.79,235.4832,55.7807,1549.7862,38.4938,736.1862,294.8831,70.6543,521.7796,212.4698,405.6019,755.1898,62.1828
ENSG00000006659,LGALS14,0,0,0,0.2849,0.8536,0,0.9763,1.9552,0,0,0.945,4.1456,0
ENSG00000006695,COX10,6.7002,215.4408,2.9768,39.3149,29.8412,3.5998,39.592,29.4516,5.7795,124.1474,1.3589,14.3057,24.1931
ENSG00000006704,GTF2IRD1,0,5.2941,11.6381,85.3161,46.9198,672.7991,165.1202,2889.5951,0.5989,876.2958,3.2705,984.1912,53.0191
ENSG00000006712,PAF1,2.3936,3.2973,543.6166,111.2442,42.7172,205.1872,100.59,466.1943,11.5451,32.309,92.5056,31.3201,54.263
ENSG00000006715,VPS41,1423.7737,70.4505,974.0524,173.2025,53.8087,573.192,1297.1803,915.2829,1382.8969,618.0525,807.738,0.4574,117.5636
ENSG00000006740,ARHGAP44,0,22.7977,1.7085,334.6565,2.0833,0.4914,283.2181,4.8406,49.8473,302.5128,56.7672,71.7868,16.6785
ENSG00000006744,ELAC2,148.0603,1396.5397,7.2012,51.454,33.6674,30.2676,598.9416,12.6097,191.2911,1271.955,278.7177,40.6072,49.0335
ENSG00000006747,SCIN,0,10.601,4.5672,355.5072,5.125,2.6593,375.409,14.0228,0.8402,269.0195,90.4684,4.0038,14.0605
ENSG00000006756,ARSD,3.6398,357.1776,16.8472,298.3383,12.665,590.7673,186.1904,27.0189,30.1902,150.4554,20.1806,261.2853,60.8955
ENSG00000006757,PNPLA4,0.2235,99.5603,1.8481,6.3454,0,159.4587,460.7941,10.96,10.1655,47.5326,2.7477,4.2103,4.6346
ENSG00000006788,MYH13,0,0,0,0,0,0,0,0,0,0.847,0,0,0
ENSG00000006831,ADIPOR2,1599.6391,77.5417,279.258,13.043,54.2624,637.7677,678.1425,272.5812,4.7702,1420.4727,836.0312,155.4699,304.7192
