gene,adj_p-value,effect size
RNF214,1.7111260199475597e-17,1.2229438775134562
RCOR3,2.9414880260010535e-17,1.2228771806055498
FAM200A,1.4694183939861714e-17,1.2225444766520221
ZFP90,1.5119183133490296e-17,1.2224394485012875
DVL2,7.673321010072639e-17,1.2222440721848005
TP73-AS1,1.0096638291776834e-17,1.2217822897300359
PAQR7,1.5212190629396838e-17,1.2217734977628787
RASA1,2.1305472649784835e-17,1.2215363466352869
DIP2A,2.5595177309311188e-17,1.2212822776531134
POLR2M,2.0782319248622604e-17,1.2207003705785693
NHEJ1,5.4331618074059626e-17,1.2204782943538135
UBE2Q2,1.3151892590092177e-17,1.2198177441463174
ATXN7L3B,5.0567981644601895e-17,1.2197305485370147
PPIH,3.57793912502027e-17,1.21906134662987
POLDIP3,3.317181813936232e-17,1.2189395142816248
AAAS,4.439664648216433e-17,1.2187622430328704
SEC24C,1.2657491533706756e-17,1.2184313808830332
UXS1,9.109071661366606e-17,1.2179607176215357
COPS7B,2.845526291570792e-17,1.2176293010558994
