gene,t-statistic,adj_p-value,effect size
MYCN,2.748479610006012,0.00779294113676736,0.5069549178175137
EXD2,2.673653928835832,0.009026256467658839,0.5069970266498997
CLMN,2.73350512360024,0.007995593591846442,0.5070138419888267
PDCL3,2.6986608604623723,0.008548415020163352,0.5071537779698247
NCAPG2,2.7743017833727674,0.007470148606633888,0.5072198747029164
TFPT,2.665068455707952,0.009197058738390626,0.5072734258117865
SLAMF9,2.7712004282298195,0.007500291394005262,0.5072987903557923
UPF3A,2.666496878609495,0.00916607155731891,0.5073105985579652
EPN2-AS1,2.678887008236232,0.008912622973309567,0.5073483714343403
EXO1,2.7912720005106357,0.007287955536998793,0.5073595040261707
CCDC102B,2.612801378041085,0.01045548868243517,0.507374469173244
PAPOLG,2.692796656586713,0.008646805036387172,0.5073844684202394
TSACC,2.7483744968427084,0.007769205905350758,0.5074940617742668
CYB561A3,2.6852020448610396,0.008783756484048626,0.5075705476834081
AMACR,2.777802385431097,0.00741106681193289,0.5076100607951289
TRIOBP,2.6846107268846784,0.008793081999871598,0.507643493481255
CCDC175,2.6708930900890233,0.009065758666915598,0.5076817405819534
PWWP2A,2.6679633699242262,0.009126437131902518,0.5076961337729641
TBX4,2.7964961706023934,0.007217326876745074,0.5077196028914776
RASGEF1A,2.730793941853508,0.008003483971465714,0.5077765100467293
FAM86B1,2.734479615108625,0.007949262572116643,0.5077794218018087
PLTP,2.740596566324025,0.007862052887807816,0.5077817799747211
CBL,2.6670080296515777,0.009144546131684774,0.5077847210266876
RNF41,2.692280366985123,0.008640977412574649,0.5078979253435876
KLHL42,2.6709901711515194,0.009058193283413566,0.5079189264767519
AQP6,2.798709029803688,0.007179465243187295,0.5080128698119418
ARHGAP17,2.679660693403919,0.008879911372374117,0.508016655516421
FUBP1,2.6891598976386235,0.008694484249975605,0.5080686851030743
ZNF90,2.6697594574306476,0.00907982506124614,0.5080931595054993
MSH6,2.762508038196365,0.007560798330609543,0.5081089781770545
UNC5A,2.7603429375903628,0.007586542260806999,0.5081257919496969
HTR2B,2.6149502886719587,0.010391360855440445,0.5082250899721874
SNORD116-18,2.7929289089023728,0.007215668904663394,0.5083345479260967
ARHGAP11A,2.79594985751387,0.007179003119449245,0.5084654913177843
IL23R,2.6878162630064013,0.008708073745737576,0.5085039567283606
SLC39A13,2.723959489215544,0.008078604418416327,0.5085303126449703
UBE2Q1,2.664052933632016,0.009190291866326908,0.5086099058575629
ACTN4,2.6721630198528636,0.009016136687364557,0.5086991512366656
RAD54B,2.7840559673029803,0.007284635722506024,0.5087204890083418
ZNF720,2.681811709370221,0.0088164323583371,0.50884542887346
DNAJC5G,2.7660820094318552,0.007479490754126635,0.5088940183693007
CD70,2.7183248533274367,0.008151940917804124,0.5090016981995629
RAD51AP1,2.800401156576354,0.007104774958659888,0.5090247861975423
FYCO1,2.6798491952747274,0.00884680650484249,0.5092171587921284
SSUH2,2.6695616295400795,0.00905872944746637,0.5092712021445993
CDC45,2.7992585508493923,0.007100113628906895,0.5092967839732088
