Unnamed: 0,Size,Recon3D_metabolites,num_matches,matches
ClusterID:586,1,0,0, NaN
ClusterID:587,1,0,0, NaN
ClusterID:588,1,0,0, NaN
ClusterID:589,1,0,0, NaN
ClusterID:590,1,0,0, NaN
ClusterID:591,1,0,0, NaN
ClusterID:592,1,0,0, NaN
ClusterID:593,1,0,0, NaN
ClusterID:594,1,0,0, NaN
ClusterID:595,1,0,0, NaN
ClusterID:596,1,0,0, NaN
ClusterID:597,1,0,0, NaN
ClusterID:598,1,0,0, NaN
ClusterID:599,1,0,1, ['GCK']
ClusterID:600,1,0,0, NaN
ClusterID:601,1,0,0, NaN
ClusterID:602,1,0,0, NaN
ClusterID:603,1,0,0, NaN
ClusterID:604,1,0,0, NaN
ClusterID:605,1,0,0, NaN
ClusterID:606,1,0,0, NaN
ClusterID:607,1,0,0, NaN
ClusterID:608,1,0,0, NaN
ClusterID:609,1,0,0, NaN
ClusterID:610,1,0,0, NaN
ClusterID:611,1,0,0, NaN
ClusterID:612,1,0,0, NaN
ClusterID:613,1,0,0, NaN
ClusterID:614,1,0,0, NaN
ClusterID:615,1,0,0, NaN
ClusterID:616,1,0,0, NaN
ClusterID:617,1,0,0, NaN
ClusterID:618,1,0,0, NaN
ClusterID:619,1,0,0, NaN
ClusterID:620,1,0,0, NaN
ClusterID:621,1,0,0, NaN
ClusterID:622,1,0,0, NaN
ClusterID:623,1,0,0, NaN
ClusterID:624,1,0,0, NaN
ClusterID:625,1,0,0, NaN
ClusterID:626,1,0,0, NaN
ClusterID:627,1,0,0, NaN
ClusterID:628,1,0,1, ['CPA5']
ClusterID:629,1,0,0, NaN
ClusterID:630,1,0,1, ['CPA2']
ClusterID:631,1,0,0, NaN
ClusterID:632,1,0,0, NaN
ClusterID:633,1,0,0, NaN
ClusterID:634,1,0,1, ['CPA1']
ClusterID:635,1,0,1, ['CPA6']
ClusterID:636,1,0,0, NaN
ClusterID:637,1,0,0, NaN
ClusterID:638,12,126,0, NaN
ClusterID:639,1,0,0, NaN
ClusterID:640,1,0,0, NaN
ClusterID:641,1,0,0, NaN
ClusterID:642,1,0,0, NaN
ClusterID:643,1,0,0, NaN
ClusterID:644,1,0,0, NaN
ClusterID:645,1,0,0, NaN
ClusterID:646,1,0,0, NaN
ClusterID:647,1,0,0, NaN
ClusterID:648,1,0,0, NaN
ClusterID:649,1,0,0, NaN
ClusterID:650,1,0,0, NaN
ClusterID:651,1,0,0, NaN
ClusterID:652,1,0,0, NaN
ClusterID:653,1,0,0, NaN
ClusterID:654,1,0,0, NaN
ClusterID:655,1,0,0, NaN
ClusterID:656,1,0,0, NaN
ClusterID:657,1,0,0, NaN
ClusterID:658,1,0,0, NaN
ClusterID:659,1,0,0, NaN
ClusterID:660,1,0,0, NaN
ClusterID:661,1,0,0, NaN
ClusterID:662,1,0,0, NaN
ClusterID:663,1,0,0, NaN
ClusterID:664,1,0,0, NaN
ClusterID:665,1,0,0, NaN
ClusterID:666,1,0,0, NaN
ClusterID:667,1,0,0, NaN
ClusterID:668,1,0,0, NaN
ClusterID:669,1,0,0, NaN
ClusterID:670,1,0,0, NaN
ClusterID:671,1,0,0, NaN
ClusterID:672,1,0,0, NaN
ClusterID:673,1,0,0, NaN
ClusterID:674,1,0,0, NaN
ClusterID:675,1,0,0, NaN
ClusterID:676,1,0,0, NaN
ClusterID:677,1,0,1, ['NNMT']
ClusterID:678,1,0,0, NaN
ClusterID:679,1,0,0, NaN
ClusterID:680,1,0,0, NaN
ClusterID:681,1,0,0, NaN
ClusterID:682,1,0,0, NaN
ClusterID:683,1,0,0, NaN
ClusterID:684,1,0,0, NaN
ClusterID:685,1,0,0, NaN
ClusterID:686,1,0,0, NaN
ClusterID:687,1,0,0, NaN
ClusterID:688,1,0,0, NaN
ClusterID:689,2,3,0, NaN
ClusterID:690,1,0,0, NaN
ClusterID:691,1,0,0, NaN
ClusterID:692,1,0,0, NaN
ClusterID:693,1,0,0, NaN
ClusterID:694,1,0,0, NaN
ClusterID:695,1,0,0, NaN
ClusterID:696,1,0,0, NaN
ClusterID:697,1,0,0, NaN
ClusterID:698,1,0,0, NaN
ClusterID:699,1,0,0, NaN
ClusterID:700,1,0,0, NaN
ClusterID:701,1,0,0, NaN
ClusterID:702,1,0,0, NaN
ClusterID:703,1,0,0, NaN
ClusterID:704,1,0,0, NaN
ClusterID:705,1,0,0, NaN
ClusterID:706,1,0,0, NaN
ClusterID:707,1,0,0, NaN
ClusterID:708,1,0,0, NaN
ClusterID:709,1,0,0, NaN
ClusterID:710,1,0,0, NaN
ClusterID:711,1,0,0, NaN
ClusterID:712,1,0,0, NaN
ClusterID:713,1,0,0, NaN
ClusterID:714,1,0,0, NaN
ClusterID:715,1,0,1, ['XDH']
ClusterID:716,1,0,0, NaN
ClusterID:717,1,0,0, NaN
ClusterID:718,1,0,0, NaN
ClusterID:719,1,0,0, NaN
ClusterID:720,1,0,0, NaN
ClusterID:721,1,0,0, NaN
ClusterID:722,1,0,0, NaN
ClusterID:723,1,0,0, NaN
ClusterID:724,1,0,0, NaN
ClusterID:725,1,0,0, NaN
ClusterID:726,1,0,0, NaN
ClusterID:727,1,0,0, NaN
ClusterID:728,1,0,0, NaN
ClusterID:729,1,0,0, NaN
ClusterID:730,1,0,0, NaN
ClusterID:731,1,0,0, NaN
ClusterID:732,1,0,0, NaN
ClusterID:733,1,0,0, NaN
ClusterID:734,1,0,0, NaN
ClusterID:735,1,0,0, NaN
ClusterID:736,1,0,0, NaN
ClusterID:737,1,0,0, NaN
ClusterID:738,1,0,0, NaN
ClusterID:739,1,0,0, NaN
