	Size	liver_PPI
ClusterID:873	1	0
ClusterID:874	1	0
ClusterID:875	1	0
ClusterID:876	13	58
ClusterID:877	3	3
ClusterID:878	6	15
ClusterID:879	4	3
ClusterID:880	1	0
ClusterID:881	2	1
ClusterID:882	16	76
ClusterID:883	1	0
ClusterID:884	3	2
ClusterID:885	1	0
ClusterID:886	2	1
ClusterID:887	3	3
ClusterID:888	1	0
ClusterID:889	1	0
ClusterID:890	3	3
ClusterID:891	2	1
ClusterID:892	2	1
ClusterID:893	2	1
ClusterID:894	1	0
ClusterID:895	1	0
ClusterID:896	1	0
ClusterID:897	17	123
ClusterID:898	9	28
ClusterID:899	1	0
ClusterID:900	3	2
ClusterID:901	3	2
ClusterID:902	1	0
ClusterID:903	1	0
ClusterID:904	3	3
ClusterID:905	5	8
ClusterID:906	2	1
ClusterID:907	2	1
ClusterID:908	6	7
ClusterID:909	1	0
ClusterID:910	3	2
ClusterID:911	1	0
ClusterID:912	2	1
ClusterID:913	1	0
ClusterID:914	3	2
ClusterID:915	9	25
ClusterID:916	1	0
ClusterID:917	3	2
ClusterID:918	1	0
ClusterID:919	1	0
ClusterID:920	1	0
ClusterID:921	7	14
ClusterID:922	18	100
ClusterID:923	7	7
ClusterID:924	4	6
ClusterID:925	1	0
ClusterID:926	2	1
ClusterID:927	2	1
ClusterID:928	1	0
ClusterID:929	1	0
ClusterID:930	4	3
ClusterID:931	1	0
ClusterID:932	1	0
ClusterID:933	4	4
ClusterID:934	1	0
ClusterID:935	1	0
ClusterID:936	7	21
ClusterID:937	1	0
ClusterID:938	2	1
ClusterID:939	1	0
ClusterID:940	1	0
ClusterID:941	2	1
ClusterID:942	3	3
ClusterID:943	6	9
ClusterID:944	1	0
ClusterID:945	1	0
ClusterID:946	7	16
ClusterID:947	1	0
ClusterID:948	1	0
ClusterID:949	3	2
ClusterID:950	1	0
ClusterID:951	1	0
ClusterID:952	1	0
ClusterID:953	1	0
ClusterID:954	1	0
ClusterID:955	1	0
ClusterID:956	1	0
ClusterID:957	13	16
ClusterID:958	1	0
ClusterID:959	3	2
ClusterID:960	4	3
ClusterID:961	1	0
ClusterID:962	14	24
ClusterID:963	1	0
ClusterID:964	3	3
ClusterID:965	1	0
ClusterID:966	2	1
ClusterID:967	3	2
ClusterID:968	2	1
ClusterID:969	1	0
ClusterID:970	1	0
ClusterID:971	2	1
ClusterID:972	1	0
ClusterID:973	1	0
ClusterID:974	8	19
ClusterID:975	3	2
ClusterID:976	3	2
ClusterID:977	3	2
ClusterID:978	2	1
ClusterID:979	1	0
ClusterID:980	5	7
ClusterID:981	2	1
ClusterID:982	6	10
ClusterID:983	2	1
ClusterID:984	3	2
ClusterID:985	1	0
ClusterID:986	4	6
ClusterID:987	11	44
ClusterID:988	2	1
ClusterID:989	2	1
ClusterID:990	1	0
ClusterID:991	1	0
ClusterID:992	6	8
ClusterID:993	1	0
ClusterID:994	1	0
ClusterID:995	2	1
ClusterID:996	2	1
ClusterID:997	1	0
ClusterID:998	4	5
ClusterID:999	1	0
ClusterID:1000	3	2
ClusterID:1001	5	7
ClusterID:1002	8	28
ClusterID:1003	1	0
ClusterID:1004	3	3
ClusterID:1005	2	1
ClusterID:1006	1	0
ClusterID:1007	10	30
ClusterID:1008	1	0
ClusterID:1009	1	0
ClusterID:1010	2	1
ClusterID:1011	1	0
ClusterID:1012	3	2
ClusterID:1013	7	21
ClusterID:1014	1	0
ClusterID:1015	3	3
ClusterID:1016	6	13
ClusterID:1017	36	285
ClusterID:1018	3	3
ClusterID:1019	1	0
ClusterID:1020	2	1
ClusterID:1021	1	0
ClusterID:1022	1	0
ClusterID:1023	1	0
ClusterID:1024	2	1
ClusterID:1025	2	1
ClusterID:1026	5	10
ClusterID:1027	3	3
ClusterID:1028	2	1
ClusterID:1029	1	0
ClusterID:1030	1	0
ClusterID:1031	1	0
ClusterID:1032	5	8
ClusterID:1033	1	0
