Genes	ids
GALNT1	1274
UGP2	1275
SLC12A7	1276
TREH	1277
PYCR1	1278
HS3ST5	1279
RRM2	1280
SLC35B2	1281
FN3KRP	1282
SCP2	1283
UGGT1	1284
ST6GALNAC5	1285
SLC4A2	1286
SLC24A3	1287
DEGS2	1288
AK1	1289
DPEP2	1290
PLD1	1291
LGALS13	1292
UQCRFS1	1293
PTS	1294
FUT3	1295
GOT1	1296
PGM2L1	1297
PDE2A	1298
BLVRB	1299
SLC14A1	1300
SLC43A1	1301
ATIC	1302
DGKB	1303
A4GALT	1304
B4GALT3	1305
PLCG1	1306
SLC22A2	1307
TH	1308
SLC22A12	1309
SLC12A6	1310
PFKP	1311
PCK2	1312
COX8C	1313
CEL	1314
BCKDHB	1315
ACSS1	1316
KL	1317
PDXP	1318
DGAT1	1319
ADSL	1320
SLC7A7	1321
CYP2U1	1322
PLA2G4E	1323
GALNT15	1324
UGT1A7	1325
FUT1	1326
GPX5	1327
BBOX1	1328
FUT6	1329
CYP2S1	1330
CYP11B2	1331
SLC10A1	1332
SLC22A11	1333
ACOT6	1334
HSD17B6	1335
SLC29A4	1336
SLC18A1	1337
PDE1A	1338
PLPPR4	1339
KMT5B	1340
CSGALNACT2	1341
COX6B1	1342
MAN2B1	1343
CPA5	1344
MCCC2	1345
CYP3A4	1346
NDUFV2	1347
SULT1B1	1348
NDUFA1	1349
GLO1	1350
HSD17B2	1351
ADSS	1352
NDUFC1	1353
AGPAT5	1354
FUT10	1355
TAT	1356
SLC32A1	1357
DGKZ	1358
SCD5	1359
ARSA	1360
CPT2	1361
ADH1B	1362
PROSC	1363
RDH12	1364
DERA	1365
SLC47A2	1366
SLC25A29	1367
BHMT2	1368
XYLT2	1369
PGAP1	1370
SDS	1371
CLPS	1372
B3GAT1	1373
DCT	1374
ELOVL6	1375
CA8	1376
SCD	1377
COX5A	1378
ALDH1A2	1379
ETFA	1380
AFMID	1381
ACOT2	1382
UGT8	1383
MBOAT1	1384
GGT5	1385
PLCB3	1386
B3GAT2	1387
SLC25A12	1388
PON3	1389
COMTD1	1390
ACOT4	1391
CNDP1	1392
ATP1B2	1393
GART	1394
ABCC4	1395
AGPAT4	1396
CERS6	1397
GNE	1398
FAM20B	1399
SLC51B	1400
UGT1A10	1401
CYP1B1	1402
DMGDH	1403
COX5B	1404
PRDX6	1405
TUSC3	1406
SEC11A	1407
EXTL2	1408
CYC1	1409
SCARF2	1410
MBOAT2	1411
SLC5A2	1412
GUCY1A2	1413
SLC40A1	1414
TYR	1415
PPIP5K2	1416
ATP2B1	1417
SOD3	1418
ACACB	1419
ALPP	1420
NDUFB2	1421
COX2	1422
PLCB4	1423
TPK1	1424
RBP1	1425
DHRS4	1426
NME3	1427
CEPT1	1428
MTMR2	1429
TM7SF2	1430
CKMT1A	1431
GALK2	1432
ALG5	1433
PLCD4	1434
GALK1	1435
CKMT1B	1436
PLCL1	1437
ACSL5	1438
SQLE	1439
CTSA	1440
NEU2	1441
GCSH	1442
CMAS	1443
SRD5A1	1444
PDE4B	1445
CYP2E1	1446
MGAT5	1447
PRPS1	1448
SLC34A3	1449
SLC26A2	1450
ME1	1451
TPSB2	1452
PIK3C2G	1453
PRODH2	1454
ADH1A	1455
AKR1B10	1456
SULT2A1	1457
ADCY10	1458
AMY2B	1459
CYP2D6	1460
GYG1	1461
PIK3CB	1462
DAGLA	1463
ALDH2	1464
CPS1	1465
