T,NT,Study
141.2580613173638,144.16675073736394,Study A
101.27293966099997,122.04113885937666,Study A
195.31056586676772,181.7403762019534,Study A
84.3422413060553,74.87692557803689,Study A
295.8182749712071,277.46731466307347,Study A
20.867440308664396,40.584526871444744,Study A
323.1710117247922,305.68693630350253,Study A
681.7554286632436,732.3334152331709,Study A
10.87313271179544,10.986226207277996,Study A
182.94164256482395,177.5181625130627,Study A
269.0462760305014,234.2234510579528,Study A
28.703100345217653,26.53746433455901,Study A
291.7093049103129,266.24838332913697,Study A
3321.892499657133,3944.185040276945,Study A
354.16328742634755,413.8885468932773,Study A
75.27330810623118,72.69753933127325,Study A
196.08482143258752,212.216968669839,Study A
194.84367286261514,184.7086802370588,Study A
0.12410836880323607,0.08920289007732593,Study A
9.66712881913728,7.4291368320521105,Study A
107.10557897145169,117.16358683083378,Study A
520.8222484957204,505.11969418728717,Study A
41.673151322498846,34.394576179444975,Study A
112.85068725538616,85.99372786469897,Study A
920.2729649293252,848.0843399169498,Study A
346.7093176147318,331.4271046842676,Study A
414.4616791429932,459.9067167046111,Study A
1.515565882724353,1.2823685001756664,Study A
19.4356567715898,16.776825962632685,Study A
0.7319254658078103,1.3147177515978616,Study A
33.47709557043737,27.32934071646023,Study A
203.27619526904581,152.4248695874092,Study A
43.56891649666614,36.19507835103682,Study A
3.3314730493983893,3.8983552941356834,Study A
32.213432003627396,31.020162814264264,Study A
191.98546021144173,154.88927453672812,Study A
1.5526705351768069,1.1711406677204836,Study A
0.32995087166489045,0.23715218900914,Study A
199.9132968825732,219.44845465697745,Study A
108.66088401200932,105.0472993139942,Study A
2.7585857881097455,3.2201693128649334,Study A
1585.817046991006,1549.8063043316076,Study A
453.9828334188294,390.5937388557778,Study A
68.63022780958892,56.736850517183846,Study A
397.6009391764387,455.8164533529881,Study A
97.87883813210092,81.29473273760459,Study A
113.30559430392088,96.91555300305039,Study A
18.963333210887352,15.68069702470651,Study A
55.86971072385756,78.55937469114653,Study A
60.165369033963195,46.35599375597564,Study A
20.731605431828186,15.34211116862374,Study A
0.6781376228951291,0.48741141645587405,Study A
919.6849614404409,888.1971915143156,Study A
0.3953687825425075,0.28417131245242727,Study A
30.93921696734435,27.824519336622572,Study A
883.1103077592267,936.322620868417,Study A
54.72146591862753,51.67897267197147,Study A
45.52142858524094,37.45366662359056,Study A
235.49943835313084,203.635338771595,Study A
0.7383208645883768,0.8413108195689429,Study A
26.145422607850367,20.40421477943844,Study A
566.2388420349306,570.9029290747809,Study A
26.623465085651052,26.560090367964865,Study A
21.47928872649783,21.97961362592181,Study A
95.76550443639943,99.27221665046933,Study A
1207.9960272779592,1128.921572166609,Study A
146.40003283162213,169.66724260967817,Study A
848.0832340824126,982.7765500552779,Study A
16.878205130461687,21.85892627612324,Study A
49.099588232443736,52.705204553460966,Study A
135.35650758517986,130.2034725246967,Study A
148.9144390218239,150.731598043423,Study A
2691.1299346466167,2628.834494988131,Study A
362.0024332560155,337.0822326097487,Study A
4.3681929361672704,4.9021841817134915,Study A
0.12895640709185766,0.1202667778783495,Study A
137.05864721981666,138.759087855186,Study A
265.57960117082075,255.98679069153906,Study A
77.97800155651628,76.91109293807044,Study A
186.95719238273298,194.25007142945194,Study A
305.31462637835045,303.3930583678801,Study A
263.501462569104,259.3449606244459,Study A
130.00590841235643,135.88451253015134,Study A
81.62686634593373,87.6236942840697,Study A
99.81161723189346,83.13567537523008,Study A
28.727712274104622,27.255669511121386,Study A
323.15980365702535,286.44607837692604,Study A
235.3951485789992,203.0306403171702,Study A
139.93282257769968,129.7191430562578,Study A
679.9677286956783,604.8850735433726,Study A
100.50171060263166,96.4584627565645,Study A
