gene,t-statistic,adj_p-value,effect size
RNF220,3.087536848226641,0.002726417158488476,0.5806688845832763
YPEL4,3.1658160034496263,0.002326442553697126,0.5806692847196142
LOXL1-AS1,3.217105484519124,0.002163104051690316,0.580731193992649
FBXL12,3.1029247051301487,0.0026303919196128136,0.5807630428607929
CALU,3.1697311276966444,0.002309198772620305,0.5807928910763803
ZDHHC2,3.1463271542686417,0.0024048564464868166,0.5808370760159627
OSGEPL1-AS1,3.084017068679196,0.0027469895699558655,0.5809062046255725
B4GALT3,3.0941017832984508,0.002681850902884325,0.5809454553712184
LCMT1,3.169480798948783,0.002307070470394278,0.5809592784338607
CORIN,3.2112892087994576,0.0021685927506288074,0.5811447366474187
SNORD114-16,3.236242931116025,0.0021093717486551757,0.5811700199280314
SLC25A33,3.147498717727785,0.002391194542949106,0.5813607976815809
CNNM2,3.0931946985987704,0.002682725486852111,0.5813983760867479
CLHC1,3.142779635839846,0.002411345016304181,0.5814510007648495
SLC9B1,3.1356093947579566,0.0024453268128605075,0.5814609011748101
LSM2,3.1879341300084025,0.002231495084361896,0.5814777191325794
HMGN1,3.128183302396323,0.002480998829376122,0.5815625268958208
LEF1-AS1,3.172031603569735,0.002286354498436226,0.5815638495878852
RBM4B,3.0561925021364305,0.002940706027881356,0.5816693937539137
KCNRG,3.0585572078371905,0.002922408970453105,0.5816710696480438
IQCK,3.13253173342006,0.0024554054950732575,0.5818179189968524
MED20,3.1542192552832646,0.0023539474850896324,0.5818340493901619
TOMM20,3.19112472788101,0.002212564704009993,0.5819021635217329
ARAP1,3.1012011937350725,0.0026271817872067648,0.5819543753650855
OSGEPL1,3.11304540465006,0.0025574916654321784,0.5819628844600487
GGT8P,3.1991529573745807,0.002185442979214728,0.5819831320088771
NCOR2,3.0884781507949666,0.0027064852205143657,0.5820619221899155
RPL22L1,3.2112709360395635,0.0021472030135041014,0.5821205056214147
IFT172,3.1308689853517424,0.0024590310387753666,0.5821623525286005
B3GNT4,3.085880071184976,0.0027215921892954627,0.5822875274845901
CPA5,3.2117826090760335,0.002139626527036654,0.5824077142073022
DACT1,3.153085265568551,0.0023497252197050493,0.5824113779047374
E4F1,3.1132349764706073,0.002549928138779117,0.5825107346374501
GIT1,3.1265338150173276,0.0024757398299354626,0.5825979790357076
ZNF343,3.1528677527309608,0.002344898645209522,0.5827856854081582
SNORD114-3,3.151611357437972,0.00235044504849442,0.5827915592198294
TNNI2,3.1290220510771727,0.002460029265618652,0.5828025601832018
MANSC1,3.122685829517659,0.002493132350749224,0.5828532301715363
TRIM52,3.1393347890742267,0.002406955649211753,0.5828719796420146
NDE1,3.1864518077624226,0.0022095614662381814,0.5828889831761431
PCDH17,3.1224697932338805,0.002492210969720189,0.5830243754682712
MYH10,3.1651288656070644,0.0022883156867957344,0.5830339449096107
YLPM1,3.1526928401530707,0.002340881593858894,0.5831017085116599
ZSCAN4,3.2340170496196485,0.00206728594079964,0.5831325964078603
SCAMP4,3.1203448233869238,0.0025021298952713723,0.5831714061664576
C7orf33,3.1939041899512945,0.0021763849689212587,0.5833001110220135
SPIRE2,3.164039518646255,0.0022829156338878623,0.5836546608480461
MIR410,3.0151710533791913,0.0032942634707885613,0.5837005955123584
SPATA24,3.158133393174747,0.0023075504131683717,0.583706269691599
MIS18BP1,3.1661844739340284,0.0022713628503976562,0.5838170549239767
ENTPD4,3.117242761366174,0.002510414913811373,0.583976136038013
FNTB,3.172411940060579,0.002241371689055227,0.5840991292202227
GM2A,3.196205562318913,0.00215341788758258,0.584119249146766
HNF1A-AS1,3.1192688609620114,0.0024963942446910633,0.5842001823424562
KIF26B,3.230711492757759,0.0020485229705581214,0.5843337814499692
ZNF384,3.1359575507515536,0.0024036066386352987,0.5844092214174528
KLF13,3.1413975729884274,0.0023723247268318394,0.5846988167657169
VCAM1,3.1673624404064835,0.002251854502335895,0.584756522834774
MCM2,3.253338964574758,0.0019882568157526316,0.584767144598057
