,t-statistic,p-value,effect size
16189,2.5091308930464535,0.014420970285236494,0.4692483007711171
5490,2.4723118074799753,0.015523927946786366,0.4692803192641922
14247,2.535397655499079,0.013756560478713865,0.4692906374333813
13207,2.457212428779078,0.016039220851632313,0.4693085324942767
15822,2.525030124577044,0.013998433013390344,0.46940298364904737
367,2.4123154441351957,0.01780624098103059,0.46940719037330636
7935,2.5569187065249985,0.013276146403839739,0.46944126613346504
17837,2.472172964594431,0.015520396734958891,0.4694797484216441
3851,2.4830412407000084,0.015169978397479945,0.46949651050272173
9016,2.4907638848459404,0.014932089645317902,0.46951453979353264
9961,2.4827407431012776,0.015176915192746126,0.4695515035380522
12311,2.5746345961037083,0.012920564317780008,0.46963119812589715
15040,2.4736954259807296,0.015462422266556607,0.4696719960004943
11878,2.4692305001394157,0.015609649188846046,0.4697051448732902
2414,2.500395417376544,0.01463868032856562,0.46972023608214475
19297,2.4454675137759847,0.016455925865522872,0.4697217440530836
1927,2.4287343288012173,0.01710965648912226,0.4697779461236671
6207,2.481601642542087,0.015202476845038011,0.4697846821357886
6663,2.5077154564765713,0.014428972806214864,0.46978949168662587
2716,2.4808885564936474,0.015219262062403588,0.4699196485855271
1840,2.5580207735826934,0.013215184830340232,0.46992995122679027
13780,2.501259363869365,0.014601280189519908,0.4699615901529592
4863,2.565829764593447,0.013056549356734703,0.4699712881564273
1760,2.4918956440680957,0.01487448958210906,0.4700019379682237
1739,2.462640691879119,0.01582190760022839,0.4700789288154023
13036,2.467772974407879,0.015638602532396673,0.47025367635618437
3121,2.5382332167330173,0.013620562359026655,0.4703050330648847
14175,2.5068981883526824,0.01442248449584021,0.4703239389249925
14739,2.440686035427743,0.01662321347069294,0.470325755912687
1814,2.4932966916301935,0.01481527081167775,0.4703601433349446
12403,2.4639740990356422,0.015764568103865978,0.47039645746433095
18544,2.4684019745050905,0.015606509742640058,0.4705496135205887
1797,2.5428322374374526,0.01348989178912597,0.47066233616463193
9781,2.5807322587032075,0.01272070478488265,0.4706804940160349
9037,2.4804980573217326,0.015199071720923118,0.47070165954962984
2222,2.4581762412692543,0.015959377694321163,0.47071666521862143
802,2.4534971953801743,0.016129049899029416,0.4707292248794035
9388,2.5698147368982496,0.012916018910297061,0.4707547791655088
6344,2.5330700703565916,0.013710011385652827,0.47081473996487266
12751,2.572216386936539,0.012864361932095138,0.4708272613077356
11260,2.5093579119239307,0.014324711084840128,0.47087041625135173
9215,2.4790973589810172,0.015236887277044649,0.4708911867053169
8570,2.579131780692828,0.012727936211614149,0.47093115400064356
4309,2.524591193439591,0.013914316924540189,0.4709325977246691
14925,2.5793138866892775,0.012719322782413544,0.4709942102488661
1830,2.496319357630434,0.014694094995285201,0.4710087591609233
2191,2.4899785096340064,0.014886275533630549,0.47102045541860244
14289,2.5423007466197776,0.013476469047063679,0.4710387663715557
16258,2.473919217594393,0.015395681205899566,0.4712191332442606
6774,2.473089586802395,0.015423421377976641,0.4712234428753355
3863,2.5360110508446794,0.013612077900255926,0.4712334155495406
18991,2.5612352958488045,0.013045160610734435,0.4712877511008754
2380,2.4699791395083253,0.015526513240086597,0.47129627076578223
7605,2.470339157176459,0.015512587685897394,0.47134322325731376
17779,2.5311222532901456,0.013716123551514003,0.4714845415616626
12289,2.5835793416147803,0.012599269628934382,0.4715118110765397
16351,2.5197336887153394,0.014005382848250163,0.47155112320811915
14283,2.5203548268856197,0.013986803045243799,0.4715885725859879
16522,2.5299521134174814,0.013738936010684068,0.4715910714620567
13779,2.5026549085829353,0.014478684665655302,0.4716057525144219
14913,2.502999432571287,0.014466645876523906,0.4716472969740865
4691,2.448221785371451,0.016301702128581955,0.47168200844750696
10486,2.5398297716821983,0.01348714835350595,0.4717579999441151
16338,2.5815227995676464,0.012612906605305391,0.4717897180827567
1417,2.562696730897146,0.012977103550263564,0.47179600261576327
16149,2.5273493425252047,0.013789304087559595,0.4718556925079489
6114,2.537950712962814,0.013518474932975021,0.4719745005021661
8561,2.4962082158051055,0.01465190607935184,0.47201338221520583
14268,2.490462916588182,0.014825659616993638,0.4720921238471579
2466,2.5170859188879597,0.014046541005741028,0.472105921944091
6306,2.504762784126821,0.014392319879471172,0.47212986071358154
7068,2.5264804913418693,0.0137865609502744,0.47229459380932515
16255,2.468311687498078,0.015550770110226179,0.4723276756074526
205,2.5150728554273516,0.014087475530101068,0.47238113189581493
18587,2.532338298667199,0.013628125751483006,0.47244825109447997
5463,2.579902398108952,0.012580837122932695,0.47255377193120784
