gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
MYLIP,0.14224,10.04157,1.24986,2.00941,0,4.6071,0.09203,2.56505,3.85304,13.28883,0.15892,0,3.17406
NOX1,0,0.46168,0,0,0,0,0,0.92342,0,0,0,0,0
E2F2,0,0.34626,0.22725,0.10047,0.79672,1.21239,0.09203,3.28327,0,0.16305,0.63567,0.9829,0.28855
PSMB1,249.48215,10.04157,0.34087,6.02823,0,0.84868,0.55219,200.58707,43.43432,149.92731,69.1294,171.39243,3.75117
SYN1,0,0.23084,0.11362,0,0,1.81859,14.72511,0.1026,0,13.37035,0,0.9829,0.28855
JARID2,0,19.62147,0,5.72682,0,20.73195,10.49164,0.1026,1.40111,19.72942,0,82.93182,39.53151
CDKL5,11.52113,3.34719,1.81798,2.31082,2.65574,7.03189,1.56454,2.15464,0.17514,27.88208,1.11243,12.90051,24.2383
CAMK1G,0,0,0.34087,0,0,0,0,0,0,1.87511,0,0,0
CDK11A,2.41801,3.34719,0.56812,316.48189,5.57705,45.82853,26.68926,960.76589,41.33266,1.549,29.39986,50.74199,9.81074
NADK,41.81742,37.97331,19.20245,350.64185,10.35738,102.5686,11.68806,334.79059,2.10166,2.03816,215.01627,20.14936,21.92989
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,1.70683,0,0,0.20094,0,0,0.18406,0.71821,0,0,5.56214,0,4.61682
CYTH3,1.28013,0.92336,28.74686,147.69155,5.0459,0.48496,23.83627,2.05204,7.53095,64.32444,10.96535,0,15.58176
ADAM22,0,5.6556,0,0.20094,4.51476,1.93983,1.47251,0.71821,0,9.94624,0,12.40906,2.59696
SYPL1,24.74908,179.70956,69.65149,520.63783,8.23279,53.34537,0.92032,12.82526,13.48566,2.85343,15.7329,24.20381,9.23364
CYB561,0,0.11542,18.29346,5.02352,1.59344,24.2479,0,113.1701,0,63.18307,0.63567,9.21465,5.19392
SPAG9,91.7423,136.88859,226.1117,120.56453,57.62954,123.4218,63.9622,0.30781,0.52542,6.19602,73.10235,142.51987,138.216
CELSR3,0,0,0.34087,0,0,0,4.41753,0.82082,0,2.93496,0.63567,29.73259,3.75117
AASS,3.98261,208.56466,63.0613,1.80847,55.50495,5.09206,0,0.61561,39.05586,14.7563,53.71434,38.08721,11.8306
PLEKHG6,6.82733,0,0,0,1.59344,0.6062,1.47251,0.2052,0.17514,0.16305,2.86053,0.24572,7.79088
